epoch: 1  lr: 0.1
Epoch[1]:[450/782] Time:0.0480 Data:0.0001  Cls:89270.3750(68073.0356)  Fitnet:641551.0000(748785.1157)  prec@1:20.31(13.34)  prec@5:48.44(56.79)
Epoch[1]:[460/782] Time:0.0383 Data:0.0001  Cls:120227.9219(69733.1650)  Fitnet:782652.8750(747960.6867)  prec@1:9.38(13.31)  prec@5:56.25(56.67)
Epoch[1]:[470/782] Time:0.0382 Data:0.0001  Cls:97776.0703(70067.3538)  Fitnet:659949.6875(747257.4011)  prec@1:14.06(13.28)  prec@5:53.12(56.58)
Epoch[1]:[480/782] Time:0.0314 Data:0.0001  Cls:60298.8984(70043.3640)  Fitnet:681352.1875(746661.7331)  prec@1:21.88(13.33)  prec@5:60.94(56.64)
Epoch[1]:[490/782] Time:0.0332 Data:0.0001  Cls:71322.3516(69892.5524)  Fitnet:786640.4375(746673.0312)  prec@1:12.50(13.36)  prec@5:51.56(56.71)
Epoch[1]:[500/782] Time:0.0366 Data:0.0019  Cls:98184.5156(70310.3725)  Fitnet:849497.6875(746321.1140)  prec@1:15.62(13.43)  prec@5:56.25(56.71)
Epoch[1]:[510/782] Time:0.0332 Data:0.0001  Cls:146876.2812(70908.1888)  Fitnet:626218.8125(745577.0230)  prec@1:12.50(13.45)  prec@5:62.50(56.73)
Epoch[1]:[520/782] Time:0.0452 Data:0.0037  Cls:103550.8906(71116.0180)  Fitnet:828338.3125(745296.1450)  prec@1:23.44(13.52)  prec@5:65.62(56.85)
Epoch[1]:[530/782] Time:0.0306 Data:0.0001  Cls:65503.7383(70948.1961)  Fitnet:745473.7500(745248.4050)  prec@1:14.06(13.53)  prec@5:45.31(56.89)
Epoch[1]:[540/782] Time:0.0299 Data:0.0001  Cls:94691.2031(70617.7842)  Fitnet:679193.7500(745458.0968)  prec@1:20.31(13.60)  prec@5:51.56(56.77)
Epoch[1]:[550/782] Time:0.0385 Data:0.0001  Cls:52851.3281(70798.9810)  Fitnet:659751.9375(744797.7378)  prec@1:12.50(13.63)  prec@5:57.81(56.64)
Epoch[1]:[560/782] Time:0.0298 Data:0.0001  Cls:56831.6758(70661.3169)  Fitnet:828949.4375(745270.1508)  prec@1:4.69(13.52)  prec@5:60.94(56.63)
Epoch[1]:[570/782] Time:0.0370 Data:0.0001  Cls:58256.9453(70376.9945)  Fitnet:789311.3125(745267.5075)  prec@1:18.75(13.53)  prec@5:60.94(56.62)
Epoch[1]:[580/782] Time:0.0333 Data:0.0001  Cls:54576.9688(70676.5959)  Fitnet:882032.1875(745265.1002)  prec@1:10.94(13.55)  prec@5:56.25(56.66)
Epoch[1]:[590/782] Time:0.0291 Data:0.0001  Cls:48883.8398(71186.4881)  Fitnet:868032.4375(745282.5876)  prec@1:15.62(13.55)  prec@5:54.69(56.66)
Epoch[1]:[600/782] Time:0.0369 Data:0.0001  Cls:53329.4414(71013.2831)  Fitnet:736787.6875(745722.5106)  prec@1:14.06(13.59)  prec@5:64.06(56.70)
Epoch[1]:[610/782] Time:0.0306 Data:0.0001  Cls:58726.1875(71301.1722)  Fitnet:724452.9375(745341.4003)  prec@1:17.19(13.58)  prec@5:68.75(56.77)
Epoch[1]:[620/782] Time:0.0368 Data:0.0001  Cls:89675.3516(71736.9465)  Fitnet:798859.8125(745085.4016)  prec@1:12.50(13.60)  prec@5:60.94(56.81)
Epoch[1]:[630/782] Time:0.0379 Data:0.0001  Cls:37734.9141(71398.6943)  Fitnet:742393.7500(744983.9746)  prec@1:10.94(13.63)  prec@5:64.06(56.87)
Epoch[1]:[640/782] Time:0.0379 Data:0.0001  Cls:41399.1875(71160.3749)  Fitnet:634093.7500(744475.0691)  prec@1:15.62(13.65)  prec@5:56.25(56.89)
Epoch[1]:[650/782] Time:0.0290 Data:0.0001  Cls:130218.3984(71473.7014)  Fitnet:739671.5625(744063.6805)  prec@1:15.62(13.64)  prec@5:57.81(56.88)
Epoch[1]:[660/782] Time:0.0292 Data:0.0001  Cls:46604.0703(72013.1115)  Fitnet:690988.9375(743479.7481)  prec@1:21.88(13.68)  prec@5:64.06(57.03)
Epoch[1]:[670/782] Time:0.0310 Data:0.0001  Cls:53796.0312(71846.1859)  Fitnet:592807.9375(742745.5497)  prec@1:25.00(13.78)  prec@5:76.56(57.16)
Epoch[1]:[680/782] Time:0.0310 Data:0.0002  Cls:113219.2109(72189.8677)  Fitnet:571895.6875(742279.8910)  prec@1:14.06(13.82)  prec@5:78.12(57.36)
Epoch[1]:[690/782] Time:0.0301 Data:0.0001  Cls:88697.7891(72779.3544)  Fitnet:741194.9375(741951.7953)  prec@1:20.31(13.90)  prec@5:71.88(57.56)
Epoch[1]:[700/782] Time:0.0306 Data:0.0001  Cls:63688.6914(72828.5320)  Fitnet:698135.1875(741770.6935)  prec@1:23.44(13.97)  prec@5:75.00(57.72)
Epoch[1]:[710/782] Time:0.0325 Data:0.0001  Cls:73646.8281(72665.0767)  Fitnet:696402.6875(741705.2027)  prec@1:23.44(14.08)  prec@5:64.06(57.84)
Epoch[1]:[720/782] Time:0.0305 Data:0.0001  Cls:206744.7188(73551.4574)  Fitnet:565264.4375(740602.8155)  prec@1:20.31(14.11)  prec@5:67.19(57.91)
Epoch[1]:[730/782] Time:0.0352 Data:0.0001  Cls:112046.8438(73763.4331)  Fitnet:717899.3125(740184.0106)  prec@1:17.19(14.18)  prec@5:56.25(58.03)
Epoch[1]:[740/782] Time:0.0350 Data:0.0001  Cls:139353.8125(74177.9927)  Fitnet:656547.6875(739726.7849)  prec@1:17.19(14.19)  prec@5:53.12(58.07)
Epoch[1]:[750/782] Time:0.0298 Data:0.0001  Cls:52494.0117(74632.6322)  Fitnet:794393.1875(739445.8893)  prec@1:12.50(14.21)  prec@5:51.56(58.08)
Epoch[1]:[760/782] Time:0.0284 Data:0.0001  Cls:156047.9062(74721.4128)  Fitnet:795750.1250(739006.4241)  prec@1:20.31(14.27)  prec@5:60.94(58.16)
Epoch[1]:[770/782] Time:0.0317 Data:0.0001  Cls:159909.6562(75463.5094)  Fitnet:704213.6875(738483.9746)  prec@1:21.88(14.33)  prec@5:51.56(58.17)
Epoch[1]:[780/782] Time:0.0173 Data:0.0000  Cls:102706.0469(76063.1017)  Fitnet:753771.5000(738371.5706)  prec@1:21.88(14.39)  prec@5:64.06(58.21)
one epoch time is 0.0h0.0m27.38197898864746s
testing the models......
Cls: 358965.5577, Fitnet: 612947.8846, Prec@1: 16.06, Prec@5: 64.76
testing time is 0.0h0.0m3.296081066131592s
saving models......
epoch: 2  lr: 0.1
Epoch[2]:[010/782] Time:0.0399 Data:0.0001  Cls:144438.6094(86782.5797)  Fitnet:787468.6875(713262.7375)  prec@1:23.44(20.00)  prec@5:62.50(63.12)
Epoch[2]:[020/782] Time:0.0294 Data:0.0001  Cls:130638.3906(106444.6605)  Fitnet:686505.0625(697214.5906)  prec@1:20.31(17.81)  prec@5:65.62(62.42)
Epoch[2]:[030/782] Time:0.0292 Data:0.0001  Cls:129133.7500(108061.8158)  Fitnet:652497.1875(680419.7438)  prec@1:14.06(17.60)  prec@5:67.19(63.39)
Epoch[2]:[040/782] Time:0.0389 Data:0.0001  Cls:157437.7188(108868.0626)  Fitnet:637243.1250(683770.1547)  prec@1:25.00(18.36)  prec@5:57.81(62.93)
Epoch[2]:[050/782] Time:0.0405 Data:0.0001  Cls:179458.2656(112766.6046)  Fitnet:716383.6875(683284.8675)  prec@1:10.94(17.97)  prec@5:51.56(62.38)
Epoch[2]:[060/782] Time:0.0333 Data:0.0001  Cls:172571.2031(109959.5486)  Fitnet:683643.0000(682854.6604)  prec@1:12.50(18.57)  prec@5:57.81(63.36)
Epoch[2]:[070/782] Time:0.0317 Data:0.0001  Cls:177295.5938(113070.1878)  Fitnet:668392.2500(678156.1054)  prec@1:21.88(18.39)  prec@5:65.62(62.52)
Epoch[2]:[080/782] Time:0.0290 Data:0.0001  Cls:147462.8906(121447.8791)  Fitnet:697309.2500(675376.4109)  prec@1:20.31(18.28)  prec@5:60.94(62.64)
Epoch[2]:[090/782] Time:0.0288 Data:0.0001  Cls:37828.7500(119335.4426)  Fitnet:674565.8125(675744.6708)  prec@1:23.44(18.26)  prec@5:65.62(63.09)
Epoch[2]:[100/782] Time:0.0382 Data:0.0001  Cls:100299.2578(119345.5241)  Fitnet:740094.1250(679727.1969)  prec@1:12.50(18.11)  prec@5:67.19(62.83)
Epoch[2]:[110/782] Time:0.0339 Data:0.0001  Cls:214919.7031(120862.4160)  Fitnet:599225.7500(675602.9983)  prec@1:18.75(18.11)  prec@5:53.12(62.77)
Epoch[2]:[120/782] Time:0.0397 Data:0.0001  Cls:109835.7578(118924.1552)  Fitnet:737501.7500(675517.7198)  prec@1:17.19(18.55)  prec@5:62.50(63.23)
Epoch[2]:[130/782] Time:0.0487 Data:0.0001  Cls:52589.7578(118483.4069)  Fitnet:743540.1875(679303.0793)  prec@1:37.50(18.43)  prec@5:71.88(62.98)
Epoch[2]:[140/782] Time:0.0358 Data:0.0001  Cls:123969.6719(117417.6116)  Fitnet:665353.4375(678257.2942)  prec@1:14.06(18.44)  prec@5:59.38(63.24)
Epoch[2]:[150/782] Time:0.0357 Data:0.0001  Cls:236140.4531(118541.5154)  Fitnet:613298.5625(677318.2654)  prec@1:15.62(18.31)  prec@5:60.94(63.06)
Epoch[2]:[160/782] Time:0.0420 Data:0.0001  Cls:65945.5156(118467.2061)  Fitnet:713902.1875(676894.3039)  prec@1:23.44(18.27)  prec@5:76.56(63.39)
